"datasetName","decimalLongitude","decimalLatitude","basisOfRecord","scientificName"
"gbif",151.384254,-23.954949,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.384222,-23.954927,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.932034,-31.092748,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.176172,-33.915807,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.79183,-23.17483,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.75164,-23.10716,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.791092,-23.168464,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.752415,-32.404663,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.818804,-23.228606,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.46702,-33.406843,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.963777,-23.157234,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.329745,-23.894379,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.32485,-23.87957,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.819965,-23.232358,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.524249,-33.109603,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.615041,-32.742518,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.963564,-23.157052,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.964235,-23.157149,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.880054,-32.739357,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.611265,-32.996834,"HUMAN_OBSERVATION","Natator depressus"
"gbif",148.60166,-32.278962,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.693624,-33.745408,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.867087,-33.702752,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.815808,-33.768465,"HUMAN_OBSERVATION","Natator depressus"
"gbif",145.791879,-31.482333,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.645529,-32.649663,"HUMAN_OBSERVATION","Natator depressus"
"gbif",152.114096,-32.724199,"HUMAN_OBSERVATION","Natator depressus"
"gbif",142.024047,-33.919705,"HUMAN_OBSERVATION","Natator depressus"
"gbif",153.560036,-28.841696,"HUMAN_OBSERVATION","Natator depressus"
"gbif",149.99958,-34.729513,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.737709,-34.602418,"HUMAN_OBSERVATION","Natator depressus"
"gbif",153.314784,-28.316146,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.74521,-33.882016,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.867518,-33.677626,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.233601,-33.897878,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.857204,-33.962475,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.503441,-33.211096,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.155459,-33.91116,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.103026,-34.033024,"HUMAN_OBSERVATION","Natator depressus"
"gbif",141.668507,-12.560717,"HUMAN_OBSERVATION","Natator depressus"
"gbif",116.275292,-20.290363,"HUMAN_OBSERVATION","Natator depressus"
"gbif",116.275874,-20.290067,"HUMAN_OBSERVATION","Natator depressus"
"gbif",116.268557,-20.281076,"HUMAN_OBSERVATION","Natator depressus"
"gbif",116.27538,-20.289496,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.82397,-23.25028,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.81353,-23.28827,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.960032,-23.158819,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.772081,-23.023022,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.40606,-23.96728,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.05463,-22.13556,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.827966,-23.261335,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.824259,-23.251597,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.40384,-23.96552,"HUMAN_OBSERVATION","Natator depressus"
"gbif",115.439411,-20.62861,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.823845,-23.246882,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.377052,-23.948166,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.93559,-23.16927,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.824361,-23.277267,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.76108,-23.08285,"HUMAN_OBSERVATION","Natator depressus"
